id,title,artist,album,genre,durationSecs,filePath
001,Nomad,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,03:45,nomad.mp3
002,Sexy to Someone,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,03:27,sexy_to_someone.mp3
003,Second Nature,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,03:47,second_nature.mp3
004,Slow Dance,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,03:54,slow_dance.mp3
005,Thank You,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,03:25,thank_you.mp3
006,Terrapin,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,03:01,terrapin.mp3
007,Juna,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,03:15,juna.mp3
008,Add Up My Love,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,03:25,add_up_my_love.mp3
009,Echo,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,03:49,echo.mp3
010,Glory of the Snow,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,02:50,glory_of_the_snow.mp3
011,Pier 4,Clairo,Charm,Soft rock / jazz / psychedelic folk / soul,03:25,pier_4.mp3
012,Alewife,Clairo,Immunity,Soft rock / bedroom pop / electropop,03:32,alewife.mp3
013,Impossible,Clairo,Immunity,Soft rock / bedroom pop / electropop,03:50,impossible.mp3
014,Closer to You,Clairo,Immunity,Soft rock / bedroom pop / electropop,03:04,closer_to_you.mp3
015,North,Clairo,Immunity,Soft rock / bedroom pop / electropop,03:33,north.mp3
016,Bags,Clairo,Immunity,Soft rock / bedroom pop / electropop,04:20,bags.mp3
017,Softly,Clairo,Immunity,Soft rock / bedroom pop / electropop,03:05,softly.mp3
018,Sofia,Clairo,Immunity,Soft rock / bedroom pop / electropop,03:08,sofia.mp3
019,White Flag,Clairo,Immunity,Soft rock / bedroom pop / electropop,03:01,white_flag.mp3
020,Feel Something,Clairo,Immunity,Soft rock / bedroom pop / electropop,02:57,feel_something.mp3
021,Sinking,Clairo,Immunity,Soft rock / bedroom pop / electropop,03:10,sinking.mp3
022,I Wouldn’t Ask You,Clairo,Immunity,Soft rock / bedroom pop / electropop,06:56,i_wouldnt_ask_you.mp3
